word,count
street,302
met,301
hood,301
wanted,300
lady,298
broke,297
verse,295
broken,295
eh,294
cool,294
fun,293
i'mma,293
smoke,293
sit,292
kind,292
drive,292
gun,290
thinking,289
pass,289
mad,289
pop,288
king,288
save,288
chance,287
blood,286
pray,285
being,285
soon,284
tears,284
past,283
rap,283
mother,282
kids,282
started,282
moon,279
tight,279
making,279
fine,277
sick,276
between,276
felt,275
mouth,273
shine,273
upon,272
fuckin',272
reason,271
half,271
hello,270
truth,270
i'ma,270
flow,270
sea,269
win,267
fool,267
motherfucker,266
dog,266
eye,266
who's,266
wind,266
control,264
chick,264
school,263
mr,263
strong,263
standing,262
women,262
pick,262
number,262
wont,260
front,260
loved,259
sound,259
fuckin,259
shall,259
nixgaz,258
seems,258
til,257
moment,257
york,257
wall,256
ground,255
along,254
motherfuckers,254
clothes,253
child,252
taking,251
step,251
brother,251
darling,250
rest,250
death,249
whatever,249
burn,247
power,246
bag,246
green,245
tired,245
catch,244
feelin',243
okay,243
son,243
gettin',242
tomorrow,241
couldn't,241
part,240
bright,240
year,239
perfect,238
men,238
does,238
send,238
thank,237
born,235
read,234
bought,234
push,234
different,233
land,233
window,232
caught,232
children,232
rich,231
stars,230
ladies,229
trust,228
river,228
four,227
fell,227
war,227
wants,226
gets,226
grab,226
loves,226
ring,225
ice,225
block,225
funk,225
summer,224
nothin',224
talkin',224
jesus,224
called,224
bet,223
most,223
promise,220
lil,220
whats,220
nice,220
bit,219
apart,218
afraid,217
lips,214
already,214
cash,214
spend,213
minute,213
stupid,212
five,212
earth,211
de,211
you'd,211
running,211
rise,210
speak,210
train,210
wear,210
weed,210
we've,208
couple,207
family,207
seem,207
missy,206
keys,206
holy,206
story,204
wouldn't,204
yours,203
dirty,203
dj,203
doin',203
shut,202
takes,202
kick,202
calling,202
welcome,201
ok,201
fear,201
follow,201
yea,201
father,200
spit,200
lookin',200
lies,199
hundred,199
above,198
doesn't,198
jack,198
diamond,198
freak,198
comin',197
goin,196
goodbye,196
wasn't,196
which,196
scream,195
worry,195
small,194
ball,193
blame,193
bust,193
drunk,193
bone,192
shoot,192
style,192
laugh,192
across,191
ones,191
taste,190
ma,190
died,190
space,189
write,189
voice,189
guy,189
against,189
great,188
imma,188
thousand,188
theres,187
woo,187
worth,186
hide,186
bang,186
sign,186
diamonds,185
somewhere,185
brain,185
looked,184
ten,184
joy,183
higher,183
six,182
favorite,182
cannot,182
scared,181
key,181
learn,181
sexy,179
meant,179
reach,179
paper,179
crack,179
track,179
second,179
brand,179
dear,179
'round,179
fill,178
picture,178
tryin,178
stick,177
future,177
cuz,177
shoes,176
everyone,176
momma,176
s,176
brown,175
walking,175
outta,174
fucked,174
breath,173
almost,173
sad,172
tree,172
cars,172
knees,172
prayer,172
business,172
turned,171
treat,171
keeps,171
bum,170
ay,170
falling,170
peace,169
lift,169
breathe,168
looks,167
paid,166
supposed,166
naked,165
everywhere,165
gettin,165
probably,165
kinda,164
fresh,164
spot,164
piece,164
mirror,163
ive,163
few,162
outside,162
yah,162
funny,162
quick,161
ran,161
homie,161
giving,160
singing,160
grow,159
queen,159
ur,158
anymore,158
playing,158
p,158
hang,158
telling,158
skin,157
n,157
magic,157
carry,157
least,157
means,157
yellow,156
rather,156
anybody,156
jump,156
dancing,156
tryin',156
fat,155
stone,155
mary,155
wings,155
near,155
needs,154
bridge,154
cup,154
nowhere,153
glad,153
booty,153
kid,153
bobby,152
fake,152
id,152
asked,152
nights,151
human,151
job,151
birthday,150
lovin',150
reasons,150
tear,150
everyday,149
bottom,149
leaving,149
michael,149
fix,148
wayne,147
hoe,147
grind,147
played,147
teeth,147
wife,146
shout,146
crying,146
angel,146
lookin,145
wet,144
fame,144
dress,144
west,144
finally,144
known,144
middle,144
somethin',144
benz,144
miles,144
none,143
fingers,143
ways,142
sayin',142
twenty,142
yesterday,142
unless,142
kanye,141
callin',140
ye,139
aye,139
knock,139
cross,139
point,139
strange,139
empty,139
versace,138
g,138
stuck,138
boss,138
clouds,138
songs,138
warm,138
walked,138
bar,137
single,137
burning,136
weak,136
clean,136
runnin',136
type,135
mom,135
blues,134
team,134
hour,134
faith,134
khaled,134
ahead,133
yeezy,133
watching,133
movie,133
c'mon,133
shady,133
sister,133
fact,132
park,132
sunshine,132
chain,132
quit,132
clear,132
band,131
mess,131
sell,131
john,131
loud,131
mommy,131
south,131
blind,129
wine,129
sir,129
holding,128
sitting,128
answer,128
sight,128
dumb,128
hearts,128
cried,128
less,128
news,127
rush,127
lives,127
jeans,127
sorrow,127
lead,127
monster,126
table,126
uhh,126
christmas,126
plus,126
soft,126
shots,126
cali,125
seven,125
needed,125
handle,125
woah,125
b,125
hop,125
wrote,124
count,124
radio,124
later,124
rolling,124
box,124
hes,124
secret,124
daughter,123
u're,123
dope,123
they'll,123
dig,122
forgive,122
deal,122
tongue,122
driving,122
changes,122
fish,122
changed,122
chest,121
suck,121
lit,121
d,121
poor,121
trouble,121
icky,121
share,121
mountain,120
devil,120
cake,120
here's,119
race,119
doubt,119
didnt,119
que,119
livin',118
wide,118
crowd,118
slim,118
beef,118
return,118
edge,118
killed,118
heat,117
tv,117
pretend,117
longer,117
haters,117
happen,116
spirit,116
learned,116
safe,116
crib,116
waste,116
sent,116
hours,116
class,116
brought,116
harder,115
talkin,115
takin',115
stuff,115
dry,115
cat,115
o,115
price,115
r,115
snow,115
squeeze,114
week,114
question,114
rings,114
makin',113
having,113
glass,113
grown,113
fighting,113
chains,113
blessed,113
short,113
hook,112
married,112
expect,112
places,112
storm,112
bird,112
hungry,111
thee,111
sunday,111
pocket,111
nothin,111
grave,111
twice,111
store,111
scene,111
shame,110
lucky,110
country,110
switch,110
bounce,110
notorious,110
prove,110
mi,110
shining,110
anyway,110
sense,109
realize,109
silver,109
feelings,109
everybody's,109
loose,109
locked,109
ends,109
state,109
weezy,109
vibe,109
crew,109
poppa,108
ti,108
rapper,108
kept,108
instead,108
lick,108
youll,108
bullshit,108
anyone,107
choose,107
plan,107
church,107
nine,107
fit,107
rose,107
flowers,106
cream,106
she'll,106
figure,106
purple,106
double,106
funky,106
ima,106
hanging,106
begin,106
smell,106
birds,105
neck,105
nose,105
guns,105
amy,105
sleeping,104
bite,104
zone,104
cops,104
working,104
repeat,104
dem,103
dying,103
glory,103
hallelujah,103
angels,103
spent,102
seat,102
happened,102
moving,102
marry,102
trip,102
greatest,101
pictures,101
special,101
winter,101
lean,101
letter,101
prince,101
bom,101
wave,101
couldnt,101
workin',101
throwing,100
flip,100
pack,100
thinkin',100
ago,100
extra,99
limit,99
tall,99
rule,99
tha,99
corner,99
killing,99
drugs,99
mo,99
somethin,98
america,98
belong,98
girlfriend,98
whatcha,98
dollar,98
cover,98
worst,98
problem,98
waist,98
heavy,98
rules,98
yo',98
distance,98
saved,97
riding,97
mercy,97
trees,97
shimmy,97
comin,97
feed,97
walls,97
thoughts,97
given,96
problems,96
hoo,96
pink,96
case,96
bottles,96
life's,96
early,96
isn't,95
somehow,95
't,95
beyond,95
paradise,95
respect,95
darlin',95
pulled,95
plane,94
faces,94
steady,94
hammer,94
hill,94
ear,94
except,94
legs,94
attention,94
drama,94
wasnt,94
thou,93
grass,93
closer,93
whip,93
sold,93
body's,93
ship,92
eight,92
beauty,92
record,92
proud,92
sat,92
bow,92
leaves,92
finger,92
shes,92
doctor,92
drinking,91
nicki,91
turning,91
groove,91
flying,91
bread,91
we'd,91
louis,91
clique,91
dirt,91
jam,91
lying,91
bells,91
hurts,91
losing,90
wit',90
bottle,90
busy,90
coke,90
pants,90
food,89
pour,89
raise,89
plans,89
mark,89
shawty,89
simple,89
turns,89
someday,89
speed,89
hurry,88
spin,88
thunder,88
desire,88
playin',88
kitchen,88
steal,88
memories,88
happiness,88
c,88
romance,88
bank,88
fancy,87
within,87
asking,87
doors,87
major,87
american,87
beneath,87
sayin,87
fade,87
brooklyn,87
breaking,87
voices,87
waitin',87
quiet,87
book,87
's,86
rat,86
beats,86
teach,86
lovers,86
doin,86
ayo,86
midnight,86
uptown,85
dude,85
witcha,85
bye,85
passed,85
nuts,85
moved,85
underneath,85
clip,85
darkness,85
radar,85
jah,84
grew,84
aah,84
become,84
ghost,84
slip,84
hole,84
heads,84
starts,84
tough,84
bomb,84
gay,84
gat,84
everything's,83
stress,83
m,83
cmon,83
runaway,83
highway,83
holdin',83
trick,83
tellin',83
dat,83
dressed,83
rhyme,83
kissed,83
laughing,82
luck,82
famous,82
jay,82
ohh,82
whenever,82
whose,82
others,82
laid,82
color,82
dawn,82
forgot,82
dare,82
chase,82
sounds,82
livin,82
folks,82
starting,81
likes,81
drinks,81
dust,81
names,81
chill,81
lived,81
missing,81
vietnam,81
beside,81
freaky,81
hat,81
fair,81
camera,81
piss,80
dropped,80
pride,80
cell,80
liquor,80
toes,80
messed,80
st,80
grace,80
quite,80
ludacris,80
clock,80
there'll,80
arm,80
survive,80
muh,80
lil',80
motherfucking,80
cats,80
pieces,80
rappers,80
thick,79
falls,79
whether,79
dime,79
sand,79
thang,79
sees,79
acting,79
golden,79
excuse,79
johnny,79
foot,79
skies,79
yup,79
',79
sweat,79
position,79
monkey,79
fate,79
loneliness,79
roof,79
loot,79
message,79
rockin',79
held,79
worried,78
fantasy,78
ghetto,78
motherfuckin,78
clap,78
cock,78
remind,78
police,78
bones,78
haven't,78
freedom,78
company,78
walks,78
weight,78
filled,77
heal,77
nor,77
drug,77
admit,77
evening,77
hee,77
california,77
bam,77
tune,77
jackson,76
lock,76
gas,76
action,76
guitar,76
doo,76
judge,76
shoulder,76
hi,76
t,76
test,76
glock,76
oooh,75
split,75
calls,75
noise,75
dah,75
blunts,75
boat,75
date,75
leader,75
mister,75
coast,75
drove,75
build,75
began,75
older,75
stopped,75
fashion,75
dough,74
pimp,74
pockets,74
pum,74
lines,74
master,74
deserve,74
melody,74
willing,74
jolene,74
breathing,74
whos,74
wrist,74
ta,74
silly,74
alert,74
ocean,74
explain,73
evil,73
smalls,73
album,73
bless,73
threw,73
he'll,73
sip,73
champagne,73
taught,73
bound,73
east,73
imagine,73
bedroom,72
blew,72
wherever,72
murder,72
climb,72
triple,72
stood,72
stole,72
private,72
taken,72
claim,72
lifetime,72
rum,72
bunch,72
don,71
mmm,71
building,71
nervous,71
insane,71
jammin',71
dangerous,71
an',71
player,71
mack,71
hits,71
bleed,71
cop,71
toast,71
boots,71
walkin',71
worse,71
barely,71
sheets,70
awake,70
f,70
hills,70
amazing,70
honest,70
history,70
slowly,70
spread,70
dad,70
knowing,70
bottoms,70
rough,70
flower,69
hotel,69
ym,69
bus,69
jingalin',69
blunt,69
rip,69
serve,69
holla,69
coat,69
e,69
beginning,69
bags,69
wishing,69
wouldnt,69
bass,69
swallow,69
platinum,69
soldier,69
hip,69
ate,69
shows,69
memory,69
wondering,68
je,68
machine,68
shouldn't,68
keeping,68
stronger,68
mistakes,68
beg,68
downtown,68
stranger,68
man's,68
named,68
wheels,67
rhythm,67
annie,67
gangsta,67
lesson,67
foreign,67
battle,67
shy,67
course,67
dreaming,67
rider,67
aw,67
mouse,67
saturday,67
hollywood,67
flame,67
happens,67
'till,67
rocks,67
shorty,67
toy,67
woke,66
struggle,66
below,66
sugar,66
it'll,66
perhaps,66
titties,66
headed,66
they've,66
fed,66
billy,66
gucci,66
finished,66
shoulda,66
truck,66
closed,66
bump,66
asleep,66
daddy's,66
stack,66
melt,66
guys,65
horse,65
stare,65
jail,65
bigger,65
tote,65
screaming,65
regret,65
strip,65
swallalala,65
paint,65
madly,65
order,65
searching,65
vision,65
shed,65
playa,65
pig,65
sacrifice,65
either,65
often,64
raised,64
mornin',64
pac,64
island,64
exactly,64
pleasure,64
super,64
touched,64
es,64
garden,64
tan,64
age,64
buck,64
creep,64
video,64
satisfied,64
bend,64
chair,64
cure,64
cute,64
poker,64
butt,64
swing,64
system,63
heres,63
enemies,63
dread,63
pressure,63
missed,63
tennessee,63
brothers,63
escape,63
spark,63
advice,63
wee,63
theyre,63
mountains,63
text,63
wash,63
brains,63
wiggle,62
bricks,62
ow,62
belle,62
games,62
fifty,62
hmm,62
blowing,62
force,62
sticky,62
hips,62
lately,62
weekend,62
beast,61
gats,61
bee,61
tape,61
candy,61
ease,61
selfish,61
secured,61
self,61
shakin',61
brings,61
anywhere,61
flat,61
fools,61
surrender,61
dogs,61
stands,61
uhhuh,61
slide,61
smokin,61
spinning,61
hotter,61
promised,61
parking,61
showed,61
knife,60
hung,60
finna,60
fallin',60
decide,60
tour,60
steps,60
papers,60
travelin',60
dragon,60
th,60
trade,60
surely,60
whisper,60
makin,60
plenty,60
drag,60
army,59
college,59
plain,59
sang,59
shooting,59
thinkin,59
colors,59
rolled,59
beach,59
dollars,59
ears,59
cost,59
ahh,59
friday,59
tip,59
bars,59
youve,59
playin,59
seeing,59
windows,59
chicago,58
paris,58
screen,58
notice,58
trap,58
listening,58
moves,58
players,58
built,58
y,58
cares,58
slave,58
mighty,58
questions,58
li,58
picked,58
itll,58
weather,58
leather,57
raw,57
blows,57
feelin,57
bills,57
runs,57
match,57
poppin',57
cards,57
bathroom,57
writing,57
givin',57
smoking,57
mall,57
glow,57
spoke,57
tracks,57
tie,57
stage,57
lee,57
eating,57
travel,56
worked,56
homies,56
form,56
drake,56
pills,56
tu,56
tale,56
ii,56
steel,56
nothing's,56
gang,56
she'd,56
dinner,56
flex,56
stacks,56
raah,56
fail,56
fault,56
strength,56
deny,56
north,56
truly,56
singin',56
dungeon,56
rollin',56
tunechi,56
shore,56
valley,55
scary,55
kisses,55
tricks,55
lied,55
station,55
remain,55
bands,55
throat,55
himself,55
bare,55
tied,55
cloud,55
jane,55
silence,55
rising,55
fan,55
attitude,55
whips,55
closet,55
hustle,55
wearing,55
size,55
closing,55
mahna,54
press,54
ego,54
breakin,54
wrapped,54
proof,54
mcghee,54
numbers,54
drown,54
refrain,54
nature,54
duck,54
view,54
owe,54
planet,54
chicks,54
list,54
guilty,54
milk,54
shoulders,54
mike,54
crush,54
crown,54
worlds,54
joe,54
wood,54
electric,54
en,53
actin',53
gypsy,53
beating,53
drank,53
kings,53
winds,53
spell,53
wow,53
spring,53
estoy,53
passion,53
fields,53
flesh,53
pregnant,53
babies,53
strings,53
enemy,53
flows,53
frank,53
sittin,53
guard,53
luda,53
language,53
simply,53
speechless,53
shower,53
finish,53
stir,53
coffee,53
shook,53
jealous,53
burns,53
motherfuckin',53
court,53
crime,52
pen,52
movin',52
page,52
weep,52
cheese,52
rhymes,52
kim,52
rah,52
love's,52
pot,52
grand,52
generation,52
important,52
complain,52
calm,52
secrets,52
liar,52
common,52
victory,52
thug,52
dre,52
lemme,52
dawg,52
chi,52
pistol,52
heels,52
trippin',51
killer,51
growing,51
dreamed,51
breeze,51
brave,51
wedding,51
survivor,51
dna,51
gs,51
difference,51
joke,51
relax,51
onto,51
stones,51
fo,51
georgia,51
protect,51
fortune,51
although,51
balls,51
blinded,51
cook,50
stomach,50
spending,50
puff,50
dies,50
shinin',50
robin,50
main,50
afternoon,50
miracle,50
attack,50
gaga,50
chrome,50
gray,50
flight,50
hall,50
dancin',50
rob,50
vain,50
cryin',50
chicken,50
tup,50
smiling,50
release,50
jungle,50
row,50
goddamn,50
wack,50
recognize,49
freaks,49
gloria,49
dive,49
superman,49
selling,49
certain,49
shirt,49
clappers,49
belly,49
pie,49
level,49
passing,49
range,49
automatic,49
mile,49
esrever,49
wheel,49
flies,49
flirt,49
blast,49
ugly,49
pair,49
bill,49
wore,49
precious,49
sin,49
gift,49
tom,49
letting,49
broads,49
eyelids,49
watched,49
oops,49
pilf,48
soldiers,48
disappear,48
field,48
atlanta,48
ceiling,48
rude,48
thinks,48
dutch,48
ticket,48
crossed,48
riches,48
cheap,48
path,48
hamilton,48
lane,48
screamin',48
forgotten,48
weave,48
sunny,48
santa,48
signed,48
thirty,48
surprise,48
veins,48
rub,48
patek,48
torn,48
gniht,48
opened,48
disco,48
plug,48
nwod,48
james,48
shoe,47
lovely,47
takin,47
popping,47
somebody's,47
iron,47
able,47
controversy,47
souls,47
shits,47
search,47
service,47
ohoh,47
echo,47
afford,47
goodnight,47
ella,47
ringing,47
law,47
lyrical,46
sail,46
avenue,46
parents,46
seemed,46
ecstasy,46
other's,46
twisted,46
k,46
pool,46
shines,46
roses,46
merry,46
shades,46
boyfriend,46
te,46
cum,46
sparrow,46
shell,46
holes,46
hah,46
mansion,46
false,46
happening,46
card,46
guest,46
shadows,46
tells,46
phantom,45
ooo,45
drinkin',45
cousin,45
mcs,45
person,45
confess,45
alarm,45
outrageous,45
staying,45
grows,45
parties,45
cadillac,45
bold,45
sings,45
mission,45
months,45
wanting,45
dancer,45
sober,45
post,45
rep,45
reality,45
stayed,45
won,45
rocked,45
where's,45
horses,45
art,44
burnin',44
circle,44
choice,44
thy,44
ding,44
mood,44
indeed,44
trigger,44
deeper,44
jumpman,44
flames,44
jet,44
fading,44
further,44
naughty,44
slap,44
waves,44
legacy,44
especially,44
mac,44
simmer,44
shadow,44
march,44
jewelry,43
l,43
motion,43
grateful,43
magazine,43
yard,43
thangs,43
amen,43
biggest,43
pound,43
treasure,43
plays,43
twelve,43
sigh,43
guaranteed,43
moonlight,43
hiding,43
lame,43
eggs,43
bentley,43
usually,43
bother,43
note,43
twist,43
third,43
applause,43
unbelievable,43
flag,43
hater,43
messing,43
mothers,43
hero,43
amazin',43
putting,43
direction,43
trapped,43
shade,43
delirious,42
among,42
something's,42
pillow,42
chasing,42
moms,42
fore,42
month,42
situation,42
cast,42
dudes,42
revolution,42
mercedes,42
palm,42
rowley,42
mc,42
zero,42
poppin,42
sippin,42
niggaz,42
dom,42
grip,42
candles,42
became,42
one's,42
stops,42
naw,42
doe,42
farewell,42
talked,42
nails,42
smooth,42
j,42
sink,42
seasons,42
credit,42
repent,42
socks,42
kissing,42
peep,42
stroke,42
flash,42
cindy,42
ya'll,42
mafia,41
henry,41
inch,41
mix,41
eternity,41
kicking,41
records,41
bodies,41
jordan,41
lullaby,41
thugs,41
texas,41
bear,41
clips,41
minds,41
ashamed,41
gentlemen,41
trunk,41
max,41
silk,41
glasses,41
sha,41
seats,41
hurting,41
france,41
public,41
va,41
begging,41
thrill,41
wise,41
hopeless,41
wipe,41
yep,41
waving,41
jerk,41
rumor,41
aren't,41
explode,41
addicted,41
forty,41
wonderful,41
legend,41
smack,41
britney,40
workin,40
grey,40
that'll,40
kicked,40
noon,40
lexus,40
knee,40
backwards,40
cow,40
cherry,40
vegas,40
junior,40
toe,40
misery,40
float,40
slam,40
movement,40
dame,40
timbaland,40
nation,40
pure,40
fears,40
wasted,40
comfort,40
they'd,40
nick,40
grill,40
havin,40
smokin',40
matters,40
join,40
mm,40
everytime,40
ballin,40
affection,40
ray,40
sittin',40
floatin',40
uhuh,40
runnin,40
tripping,39
startin',39
thirsty,39
traffic,39
unto,39
boo,39
rights,39
thanks,39
forth,39
flew,39
celebrate,39
rainbow,39
genius,39
hug,39
frame,39
angry,39
ought,39
tick,39
swag,39
french,39
settle,39
season,39
snap,39
screamin,39
belt,39
ghosts,39
staring,39
weeks,39
heavens,39
blowin',39
ourselves,39
brrap,39
slugs,39
mistake,39
crawl,39
gives,39
scratch,39
forest,39
lace,39
lotta,39
lyrics,39
heart's,39
waited,39
center,39
animals,39
rent,39
sam,39
kills,39
biting,38
hating,38
he'd,38
meat,38
alejandro,38
gyal,38
shop,38
rope,38
innocent,38
vuitton,38
unknown,38
itself,38
ol',38
load,38
sweetest,38
spanish,38
theyll,38
jamaica,38
v,38
broad,38
nut,38
fox,38
buried,38
sons,38
mic,38
el,38
leads,38
refuse,38
latest,38
fifth,38
bullets,38
due,38
drum,38
impossible,38
presence,38
oxygen,38
fever,38
rebel,38
rocky,38
lower,38
cheek,38
asshole,38
faster,38
lip,38
tank,38
seein',38
conversation,37
valerie,37
drip,37
papa,37
mend,37
praise,37
whoever,37
killin,37
add,37
remix,37
mention,37
suit,37
leg,37
molly,37
sins,37
begins,37
underground,37
pimpin,37
rihanna,37
yell,37
signs,37
frontin,37
makeup,37
aware,37
swerve,37
rollin,37
actin,37
breast,37
charge,37
monday,37
dolly,37
burned,37
ending,37
dip,37
temptation,37
sweeter,37
click,37
shelf,37
eheh,37
driver,37
swagger,37
watchin',37
husband,37
thin,37
rocking,37
restless,37
pat,37
fans,37
gates,37
orleans,37
roads,37
risk,37
telephone,37
traveling,36
butterflies,36
strangers,36
clicks,36
butterfly,36
ugh,36
pressin,36
fallen,36
christ,36
circus,36
fo',36
guide,36
coupe,36
shelter,36
bees,36
og,36
reached,36
tail,36
victim,36
confused,36
mrs,36
ooooh,36
enjoy,36
dwell,36
desert,36
smoked,36
hatin',36
helped,36
kelly,36
patient,36
winner,36
hangin',36
changing,36
hoping,36
county,36
whoo,36
beep,36
score,36
bell,36
jacket,36
suddenly,36
kingston,36
bob,36
complete,36
'gainst,36
womanizer,35
para,35
carter,35
choke,35
orange,35
knives,35
neighbors,35
serious,35
medicine,35
letters,35
neither,35
pon,35
opportunity,35
lots,35
jumped,35
accept,35
wicked,35
hidden,35
reaching,35
fifteen,35
blown,35
harm,35
pulling,35
silent,35
visit,35
seconds,35
denial,35
captain,35
mayne,35
minutes,35
competition,35
separate,35
di,35
pardon,35
god's,35
seed,35
throne,35
recall,35
experience,35
doesnt,35
danced,35
alexander,35
fist,35
swim,35
agree,35
badder,35
demons,35
slaves,35
whom,35
los,35
lonesome,35
should've,35
bullet,35
also,35
flashing,35
ohhh,35
plastic,35
woop,34
thief,34
wing,34
universe,34
pushed,34
granted,34
frozen,34
baby's,34
rb,34
plate,34
represent,34
gather,34
liked,34
sudden,34
paul,34
issues,34
london,34
homey,34
completely,34
solo,34
knockin,34
weren't,34
hay,34
troubled,34
sheep,34
mother's,34
'pon,34
herself,34
hated,34
dada,34
roam,34
penny,34
works,34
pouring,34
miami,34
critics,34
pump,34
tuesday,34
would've,34
dr,34
pines,34
chose,34
projects,34
chris,34
patience,34
ribbon,34
draw,34
prayers,34
holiday,34
maybach,34
seek,34
pity,34
downfall,34
jones,34
stories,34
nobody's,34
yoy,34
goose,33
whipped,33
softly,33
wasting,33
laughed,33
teacher,33
bent,33
intro,33
troubles,33
cane,33
messin,33
trippin,33
energy,33
model,33
laying,33
stash,33
sippin',33
lamborghini,33
definitely,33
divine,33
lake,33
trash,33
tower,33
jeep,33
walkin,33
figures,33
violence,33
pale,33
conquer,33
answers,33
stomp,33
thatll,33
movies,33
poison,33
packed,33
temple,33
groovy,33
paying,33
drops,33
slick,33
president,33
hooked,33
winning,33
pill,33
faded,33
daily,33
cigarette,33
sue,33
written,33
lap,33
dome,33
voodoo,33
jimmy,33
piano,33
farm,32
perdiendo,32
begun,32
present,32
purpose,32
surprised,32
